Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile
Globus Maritime Limited,George Karageorgiou ,https://gr.linkedin.com/in/george-karageorgiou-8a8a3930,Nikos Kalapotharakos ,https://gr.linkedin.com/in/nikos-kalapotharakos-529b4863
Gol Linhas Aereas Inteligentes S.A.,Maria Carolina Vannucci Salem ,https://www.linkedin.com/in/maria-carolina-vannucci-salem-299076147,Eric Chinen ,https://www.linkedin.com/in/eric-chinen-646a1217
Grindrod Shipping Holdings Ltd.,Patricia O'Hara ,https://www.linkedin.com/in/patricia-o-hara-3ba04a35,Aks Terroza ,https://ph.linkedin.com/in/aks-terroza-75095545
Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,Mayra Rocio Mireles Narváez ,https://www.linkedin.com/in/mayra-rocio-mireles-narv%C3%A1ez-5a70044a,60+ perfiles de Maria Crespo en México ,https://mx.linkedin.com/pub/dir/Maria/Crespo/mx-0-M%C3%A9xico
"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",Joaquín Alvarez Vázquez ,https://es.linkedin.com/in/joaqu%C3%ADn-alvarez-v%C3%A1zquez-6a4a9942,Result Not Found,No Results
"Grupo Aeroportuario del Sureste, S.A. de C.V.",Arturo Alarcon ,https://mx.linkedin.com/in/arturo-alarcon-231543b4,Result Not Found,No Results
Guangshen Railway Company Limited,Result Not Found,No Results,Result Not Found,No Results
"Hawaiian Holdings, Inc.",Top 25 Kay profiles at Private,https://www.linkedin.com/pub/dir/Kay/+/private-school-company,Raghu Valata ,https://www.linkedin.com/in/raghuvalata
"Heartland Express, Inc.",Erik Anderson ,https://www.linkedin.com/in/erik-anderson-8a5823b,Thomas Kasenberg ,https://www.linkedin.com/in/thomas-kasenberg-25a67ba
"Hub Group, Inc.",David P. Yeager ,https://www.linkedin.com/in/davidyeager,Brigitte Slaker ,https://www.linkedin.com/in/brigitte-slaker-a2b8188
Hunter Maritime Acquisition Corp.,Maxime Van Eecke ,https://be.linkedin.com/in/maxime-van-eecke-7a03406,Result Not Found,No Results
Hunter Maritime Acquisition Corp.,Maxime Van Eecke ,https://be.linkedin.com/in/maxime-van-eecke-7a03406,Result Not Found,No Results
Hunter Maritime Acquisition Corp.,Maxime Van Eecke ,https://be.linkedin.com/in/maxime-van-eecke-7a03406,Result Not Found,No Results
"J.B. Hunt Transport Services, Inc.","John N. Roberts, III ",https://www.linkedin.com/in/john-n-roberts-iii-b0508815,Greer Woodruff ,https://www.linkedin.com/in/greer-woodruff-4317b7a2
JetBlue Airways Corporation,Gerald Lee ,https://www.linkedin.com/in/gerald-lee-756769,Eileen McCarthy ,https://www.linkedin.com/in/eileen-mccarthy-b058ab3
Kansas City Southern,Mike Naatz ,https://www.linkedin.com/in/mike-naatz-91256112,Kayden Howard ,https://www.linkedin.com/in/kayden-howard-95bb4062
Kansas City Southern,Mike Naatz ,https://www.linkedin.com/in/mike-naatz-91256112,Kayden Howard ,https://www.linkedin.com/in/kayden-howard-95bb4062
"Knight Transportation, Inc.",Robin Hilton ,https://www.linkedin.com/in/robin-hilton-68578330,Robin Hilton ,https://www.linkedin.com/in/robin-hilton-68578330
"Landstar System, Inc.",Henry Gerkens ,https://www.linkedin.com/in/henry-gerkens-b88251159,Rick Coro ,https://www.linkedin.com/in/rick-coro-319a25
LATAM Airlines Group S.A.,Juan Paulo Alcalde ,https://cl.linkedin.com/in/juanpauloalcaldeengineer/en,CRISTIAN LEON DELANO ,https://www.linkedin.com/in/cristian-leon-delano-95a816a2
"Marten Transport, Ltd.",Thomas (Tom) Winkel ,https://www.linkedin.com/in/thomaswinkel,Chris Douglass ,https://www.linkedin.com/in/chris-douglass-16523827
"Mesa Air Group, Inc.",Chris Pappaioanou ,https://www.linkedin.com/in/chris-pappaioanou-7a0568a,Paul Skellon ,https://www.linkedin.com/in/paul-skellon-8261246
Navigator Holdings Ltd.,Yevgen Ganko ,https://ua.linkedin.com/in/ganko,Michael McDonald ,https://www.linkedin.com/in/michael-j-mcdonald
Navios Maritime Acquisition Corporation,Constantine Hadjipateras ,https://www.linkedin.com/in/constantine-hadjipateras-2bb41575,Fred Gordon ,https://www.linkedin.com/in/fred-gordon-95a50314
Navios Maritime Holdings Inc.,Navios Maritime Holdings Inc. ,https://gr.linkedin.com/in/navios-maritime-holdings-inc-b54462117,Tania Evangelatou ,https://gr.linkedin.com/in/tania-evangelatou-93a48a1a
Navios Maritime Partners LP,John Karakadas ,https://www.linkedin.com/in/johnkarakadas,Stratos Desypris ,https://gr.linkedin.com/in/stratos-desypris-160a0943
