Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
"Solaris Oilfield Infrastructure, Inc.",Result Not Found,No Results,Bud Giesinger ,https://www.linkedin.com/in/bud-giesinger-800a054,https://www.solarisoilfield.com
Southwestern Energy Company,Bill Way ,https://www.linkedin.com/in/billwaytexas,Alan Stubblefield ,https://www.linkedin.com/in/alan-stubblefield-b00a525b,https://www.swn.com
Sprague Resources LP,Kevin Drohan ,https://www.linkedin.com/in/kjdrohan,Kory Arthur ,https://www.linkedin.com/in/kory-arthur-7abb108,https://www.spragueenergy.com/
SRC Energy Inc.,James Henderson ,https://www.linkedin.com/in/james-henderson-041b086,Jo Ann Stockton ,https://www.linkedin.com/in/jo-ann-stockton-22862bb1,https://www.srcenergy.com
Suncor Energy Inc.,Iftikhar Dean ,https://www.linkedin.com/in/iftikhar-dean-07933369,Arlene Strom ,https://ca.linkedin.com/in/arlene-strom-46890117,https://www.suncor.com
Sundance Energy Australia Limited,Gerry Hunter ,https://www.linkedin.com/in/gerry-hunter-02b99815,Weldon Holcombe ,https://www.linkedin.com/in/weldon-holcombe-77447156,https://www.sundanceenergy.net
Sunoco LP,Joseph Kim ,https://www.linkedin.com/in/joseph-kim-3360598a,Alison Gladwin (formerly Campbell) ,https://www.linkedin.com/in/alisongladwin,https://www.sunocolp.com
"Superior Drilling Products, Inc.","Jim Osterloh, PE ",https://www.linkedin.com/in/jimosterloh,Steph Meier ,https://www.linkedin.com/in/steph-meier-694906a1,https://www.sdpi.com
"Superior Energy Services, Inc.",Pat Bernard ,https://www.linkedin.com/in/pat-bernard-38a46879,Pat Bernard ,https://www.linkedin.com/in/pat-bernard-38a46879,https://www.superiorenergy.com
"Talos Energy, Inc.",Stephen Heitzman ,https://www.linkedin.com/in/stephen-heitzman-32370345,Loren Long ,https://www.linkedin.com/in/loren-long-1842545,https://www.talosenergy.com
TechnipFMC plc,Thierry Pilenko ,https://www.linkedin.com/in/thierry-pilenko-52baaa1b/,Mark Scott ,https://www.linkedin.com/in/mark-scott-b499023b,https://www.fmctechnologies.com
Tellurian Inc.,geraldine chell ,https://www.linkedin.com/in/geraldine-chell-8086a09,Adrian Reed ,https://www.linkedin.com/in/adrian-reed-020a773,https://www.tellurianinc.com
"Tengasco, Inc.",Mike Rugen ,https://www.linkedin.com/in/mike-rugen-33a6378,Cary Sorensen ,https://www.linkedin.com/in/cary-sorensen-436025b,https://www.tengasco.com
