Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
Eversource Energy,Christine Carmody ,https://www.linkedin.com/in/christine-carmody-44a5594,Penni McLean,https://www.linkedin.com/in/penni-mclean-conner-b8743912,https://www.eversource.com/
Exelon Corporation,Michael Kurzeja ,https://www.linkedin.com/in/michael-kurzeja-5b41286,Brian E. Hoff ,https://www.linkedin.com/in/brian-e-hoff-67b4ab5,https://http//www.exeloncorp.com
Fabrinet,Tom Mitchell ,https://www.linkedin.com/in/tom-mitchell-5bb0824,Csaba Sverha ,https://www.linkedin.com/in/csaba-sverha-5a936417,https://http//www.fabrinet.com
FirstEnergy Corp.,John Judge ,https://www.linkedin.com/in/john-judge-28439221,Ernie Maley ,https://www.linkedin.com/in/ernie-maley-9296339b,https://http//www.firstenergycorp.com
Fortis Inc.,Jocelyn Perry ,https://ca.linkedin.com/in/jocelyn-perry-1b494b2a,James Laurito ,https://www.linkedin.com/in/james-laurito-03509321,https://http//www.fortisinc.com
Frontier Communications Corporation,Melinda White ,https://www.linkedin.com/in/melindawhiteexec,Bill McGloin ,https://www.linkedin.com/in/billmcgloin,https://www.frontier.com/
"FTE Networks, Inc.",Theresa Carlise ,https://www.linkedin.com/in/theresacarlise,Jeffrey Smock ,https://www.linkedin.com/in/jeffrey-smock-2b59a9141,https://http//www.ftenet.com
"GCI Liberty, Inc.",John Hegarty ,https://www.linkedin.com/in/john-hegarty-9569a08,Sue Ann Robbins Hamilton ,https://www.linkedin.com/in/sue-ann-robbins-hamilton-441962a,https://http//www.gciliberty.com
"GCI Liberty, Inc.",John Hegarty ,https://www.linkedin.com/in/john-hegarty-9569a08,Sue Ann Robbins Hamilton ,https://www.linkedin.com/in/sue-ann-robbins-hamilton-441962a,https://http//www.gciliberty.com
Genie Energy Ltd.,Michael Stein ,https://www.linkedin.com/in/michael-stein-0439175a,Michael Stein ,https://www.linkedin.com/in/michael-stein-0439175a,https://http//www.genie.com
Georgia Power Company,Jennifer Winn ,https://www.linkedin.com/in/jennifer-winn-b59488a9,Sloane Evans ,https://www.linkedin.com/in/sloane-evans-8b0a943,N/A
"Global Water Resources, Inc.",Ed Borromeo ,https://www.linkedin.com/in/edborromeo,Ed Borromeo ,https://www.linkedin.com/in/edborromeo,https://www.gwresources.com/
"Glowpoint, Inc.",Peter Holst ,https://www.linkedin.com/in/peter-holst-b3018611,Matt Thompson ,https://www.linkedin.com/in/mthompsonj,https://http//www.glowpoint.com
"GTT Communications, Inc.",Jason Ness ,https://www.linkedin.com/in/jasonrness,Mike Winston ,https://www.linkedin.com/in/mpwinston,https://www.gtt.net/
"Hawaiian Electric Industries, Inc.",Constance H. Lau ,https://www.linkedin.com/in/constance-h-lau-72a40a120,Paul Ito ,https://www.linkedin.com/in/paulitohawaii,https://http//www.hei.com
"Huaneng Power International, Inc.",Jerry Chen ,https://www.linkedin.com/in/jerry-chen-381b00132,Lisys email ,https://www.linkedin.com/in/lisys-email-aaa0a2112,https://http//www.hpi.com.cn
"IDACORP, Inc.",J LaMont Keen ,https://www.linkedin.com/in/j-lamont-keen-03177414,Rex Blackburn ,https://www.linkedin.com/in/rex-blackburn-2477358a,https://http//www.idacorpinc.com
IDT Corporation,David Wartell ,https://www.linkedin.com/in/wartell,Alex Schwarz ,https://www.linkedin.com/in/alex-schwarz-26a8b38,https://http//www.idt.net
