Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures
2005 Chevrolet Suburban 1500,"$5,500",N/A,"112,000 miles",https://www.facebook.com/marketplace/item/239109887032010/,15
2003 GMC Envoy XL,"$3,450",N/A,"128,000 miles",https://www.facebook.com/marketplace/item/1982912455141077/,7
2006 Honda Pilot,"$6,995",N/A,"118,556 miles",https://www.facebook.com/marketplace/item/397086500866435/,8
2002 Nissan Maxima,"$1,500",N/A,"99,417 miles",https://www.facebook.com/marketplace/item/321503195378828/,10
2010 Hyundai Accent,"$2,600",N/A,"113,700 miles",https://www.facebook.com/marketplace/item/677965505952010/,9
2012 GMC Canyon Regular Cab,"$1,000",N/A,"81,000 miles",https://www.facebook.com/marketplace/item/235415597400456/,4
1992 Chevrolet Pick Up Single Cab,"$1,500",N/A,"1,800 miles",https://www.facebook.com/marketplace/item/2077292312361155/,0
1990 Nissan 300zx,"$2,000",N/A,"120,000 miles",https://www.facebook.com/marketplace/item/322437388400818/,3
2004 Ford F150 SuperCrew Cab,"$6,000",N/A,"129,000 miles",https://www.facebook.com/marketplace/item/595783817550066/,9
2005 Ford Explorer,"$2,000",N/A,"191,000 miles",https://www.facebook.com/marketplace/item/302511110408551/,0
2005 Cadillac CTS,$700,N/A,"255,000 miles",https://www.facebook.com/marketplace/item/2306936399564261/,17
2015 Yamaha R3,"$3,000",N/A,"3,553 miles",https://www.facebook.com/marketplace/item/289746178536366/,8
2015 Ford Fusion,"$15,400",N/A,"3,500 miles",https://www.facebook.com/marketplace/item/380005806120146/,0
2007 Ford Taurus,"$2,495",N/A,"100,000 miles",https://www.facebook.com/marketplace/item/533355660505688/,20
1999 GMC Sierra 1500 Extended Cab,"$4,950",N/A,"186,000 miles",https://www.facebook.com/marketplace/item/2308072682742372/,6
2016 Jeep Wrangler Unlimited,"$38,000",N/A,"19,995 miles",https://www.facebook.com/marketplace/item/284070572275278/,6
2014 Jeep Grand Cherokee,"$1,022",N/A,"68,280 miles",https://www.facebook.com/marketplace/item/361347108044599/,5
2005 Dodge Ram 3500 Quad Cab,"$8,910",N/A,"198,000 miles",https://www.facebook.com/marketplace/item/373500639895855/,5
2002 Lexus IS,"$2,500",N/A,"160,000 miles",https://www.facebook.com/marketplace/item/825036441174822/,4
2004 Honda Pilot,"$3,500",N/A,"140,500 miles",https://www.facebook.com/marketplace/item/605697603187566/,8
2004 Toyota Camry,"$2,800",N/A,"23,600 miles",https://www.facebook.com/marketplace/item/643835366053060/,4
2009 Ford Escape,"$3,500",N/A,N/A,https://www.facebook.com/marketplace/item/246551206272645/,8
2004 Honda Civic,"$3,200",N/A,"110,888 miles",https://www.facebook.com/marketplace/item/408944696510725/,12
