Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Fair Price Rating
2008 Scion Hatchback Coupe 2D,"$3,000",N/A,"128,200 miles",https://www.facebook.com/marketplace/item/239789610276388/,5,N/A
2006 Honda Civic Sdn,"$4,500",N/A,"155,371 miles · Dealership",https://www.facebook.com/marketplace/item/851848681836496/,13,N/A
2007 Honda Civic LX Coupe 2D,"$2,000",N/A,"160,000 miles",https://www.facebook.com/marketplace/item/514038305786897/,8,N/A
2003 Honda Accord,"$1,800",N/A,N/A,https://www.facebook.com/marketplace/item/311833582864418/,9,N/A
2012 Chevrolet Malibu LT2,"$3,450",N/A,"142,350 miles",https://www.facebook.com/marketplace/item/334437770801865/,10,N/A
2010 Volkswagen Jetta,"$3,299",N/A,"142,000 miles · Dealership",https://www.facebook.com/marketplace/item/2079703825585438/,10,N/A
2010 Nissan Maxima S Sedan 4D,"$2,430",N/A,"66,000 miles",https://www.facebook.com/marketplace/item/237027810585811/,5,N/A
2008 Nissan Sentra 2.0 2.0,"$3,695",N/A,"123,111 miles · Dealership",https://www.facebook.com/marketplace/item/2281986561834835/,14,N/A
2010 Ford Fusion,"$1,900",N/A,"99,000 miles",https://www.facebook.com/marketplace/item/392328014868773/,9,N/A
2010 Chrysler Sebring Touring Sedan 4D,"$2,500",N/A,"86,000 miles",https://www.facebook.com/marketplace/item/1071715633037062/,5,N/A
2013 Honda Civic EX Sedan 4D,"$7,500",N/A,"70,000 miles",https://www.facebook.com/marketplace/item/2261154800795453/,4,N/A
2008 Honda Accord EX-L Sedan 4D,"$4,800",N/A,"131,000 miles",https://www.facebook.com/marketplace/item/2326809984265797/,10,N/A
2006 Dodge Charger,"$3,500",N/A,"154,066 miles · Dealership",https://www.facebook.com/marketplace/item/786989001662180/,20,N/A
2001 Honda Civic,"$1,200",N/A,"167,000 miles",https://www.facebook.com/marketplace/item/458722924667933/,3,N/A
2003 Honda Civic,"$3,000",N/A,"162,000 miles",https://www.facebook.com/marketplace/item/2319570958315190/,7,N/A
2009 Acura TL,"$6,700",N/A,"129,000 miles · Dealership",https://www.facebook.com/marketplace/item/2232699367000385/,19,N/A
2010 Ford Fusion SE Sedan 4D,"$3,000",N/A,"197,000 miles",https://www.facebook.com/marketplace/item/2228032380857820/,10,N/A
2009 Honda Accord,"$4,800",N/A,N/A,https://www.facebook.com/marketplace/item/379495985937733/,0,N/A
